 #! Swift/XRT lightcurve of trigger: 31978, name: NGC 5408 X-1
 #! T0 for this burst is Swift MET=229462503.0 s, = 2008 Apr 09 at 19:35:00.294 UT
 #! Data covers 0.3-10 keV
 #! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source count-rate, source error
 #! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 #! For a detailed description of the file, see
 #! http://www.swift.ac.uk/xrt_curves/docs.php
 #! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00031978
#! PC data
#!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
86778209.952	18000.000	-18000.000	6.384197e-02	6.091911e-03	-6.091911e-03
87426209.952	18000.000	-18000.000	6.440739e-02	5.692754e-03	-5.692754e-03
87966209.952	18000.000	-18000.000	7.058625e-02	9.270817e-03	-9.270817e-03
88002209.952	18000.000	-18000.000	8.881579e-02	2.139719e-02	-2.139719e-02
88614209.952	18000.000	-18000.000	7.063806e-02	6.125300e-03	-6.125300e-03
89802209.952	18000.000	-18000.000	7.439036e-02	7.026009e-03	-7.026009e-03
90378209.952	18000.000	-18000.000	5.700169e-02	8.568382e-03	-8.568382e-03
90414209.952	18000.000	-18000.000	6.268423e-02	7.841502e-03	-7.841502e-03
90990209.952	18000.000	-18000.000	6.545849e-02	8.414719e-03	-8.414719e-03
91026209.952	18000.000	-18000.000	8.037111e-02	1.028225e-02	-1.028225e-02
91638209.952	18000.000	-18000.000	6.402209e-02	8.849056e-03	-8.849056e-03
92250209.952	18000.000	-18000.000	8.271654e-02	9.459074e-03	-9.459074e-03
92394209.952	18000.000	-18000.000	8.308371e-02	9.726343e-03	-9.726343e-03
92826209.952	18000.000	-18000.000	7.081895e-02	6.702990e-03	-6.702990e-03
92862209.952	18000.000	-18000.000	1.013157e-01	1.989793e-02	-1.989793e-02
93474209.952	18000.000	-18000.000	8.675364e-02	9.588703e-03	-9.588703e-03
93510209.952	18000.000	-18000.000	9.121350e-02	1.012551e-02	-1.012551e-02
96498209.952	18000.000	-18000.000	7.142447e-02	8.788962e-03	-8.788962e-03
96570209.952	18000.000	-18000.000	7.868738e-02	9.196525e-03	-9.196525e-03
96642209.952	18000.000	-18000.000	7.806127e-02	1.176985e-02	-1.176985e-02
96966209.952	18000.000	-18000.000	9.115290e-02	1.019429e-02	-1.019429e-02
97038209.952	18000.000	-18000.000	7.289529e-02	9.304167e-03	-9.304167e-03
97218209.952	18000.000	-18000.000	8.265068e-02	7.086765e-03	-7.086765e-03
97398209.952	18000.000	-18000.000	7.546013e-02	9.598477e-03	-9.598477e-03
97434209.952	18000.000	-18000.000	8.622907e-02	9.372694e-03	-9.372694e-03
97578209.952	18000.000	-18000.000	1.316287e-01	1.197467e-02	-1.197467e-02
97722209.952	18000.000	-18000.000	8.099779e-02	1.093946e-02	-1.093946e-02
97794209.952	18000.000	-18000.000	2.679270e-02	6.415791e-03	-6.415791e-03
97866209.952	18000.000	-18000.000	9.928874e-02	1.045458e-02	-1.045458e-02
97974209.952	18000.000	-18000.000	1.856019e-02	4.535801e-03	-4.535801e-03
98046209.952	18000.000	-18000.000	4.051637e-02	8.507371e-03	-8.507371e-03
98118209.952	18000.000	-18000.000	4.269630e-03	2.877125e-03	-2.046886e-03
98226209.952	18000.000	-18000.000	9.049971e-02	2.386330e-02	-2.386330e-02
98298209.952	18000.000	-18000.000	6.031347e-02	8.245541e-03	-8.245541e-03
98370209.952	18000.000	-18000.000	8.670332e-02	9.394321e-03	-9.394321e-03
98478209.952	18000.000	-18000.000	6.166672e-02	8.266195e-03	-8.266195e-03
98550209.952	18000.000	-18000.000	7.533129e-02	9.276320e-03	-9.276320e-03
98658209.952	18000.000	-18000.000	7.377219e-02	1.196219e-02	-1.196219e-02
98694209.952	18000.000	-18000.000	9.008054e-02	1.346241e-02	-1.346241e-02
98802209.952	18000.000	-18000.000	7.605810e-02	1.349729e-02	-1.349729e-02
98982209.952	18000.000	-18000.000	8.753887e-02	1.033774e-02	-1.033774e-02
99054209.952	18000.000	-18000.000	9.653477e-02	1.018200e-02	-1.018200e-02
99162209.952	18000.000	-18000.000	8.998413e-02	1.019961e-02	-1.019961e-02
99234209.952	18000.000	-18000.000	6.883520e-02	8.782017e-03	-8.782017e-03
99306209.952	18000.000	-18000.000	9.784864e-02	1.894856e-02	-1.894856e-02
